Arrhenius_curve  parameter_lnA    parameter_n   parameter_EperR
Arrhenius_00117     20.15794       0.9086208       -1359.916    
Arrhenius_00118     10.74934        2.571379       -1189.002    
Arrhenius_00119     19.64247       0.9670356       -1504.894    
Arrhenius_00120     11.26482        2.512964       -1044.024    
Arrhenius_00121     30.22324      -0.2600000       -52.12487    
Arrhenius_00122     31.98704      -0.2600000        477.0162    
Arrhenius_00123    0.6840506        3.740000       -2496.793    
Arrhenius_00124    -1.079753        3.740000       -3025.934    
Arrhenius_00125     29.74756      -0.2600000       -242.3965    
Arrhenius_00126   -0.6981169        3.740000       -2834.322    
Arrhenius_00127     1.262271        3.740000       -2050.167    
Arrhenius_00128     31.60540      -0.2600000        285.4044    
Arrhenius_00129     29.64501      -0.2600000       -498.7509    
Arrhenius_00130     1.159730        3.740000       -2306.522    
Arrhenius_00131    -1.071815        3.740000       -3021.171    
Arrhenius_00132     31.97910      -0.2600000        472.2532    
